ID,CITY,PRICE_USD,BEDROOMS,BATHROOMS,PARKING_SPOTS,CONSTRUCTION_AREA_SQM,LATITUDE,LONGITUDE,LINK
c3d58180-f35b-46a8-ac2e-70ebd0dc6ddb,Quito,225000,4,3,2,504.0,-0.1672903,-78.4668728,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-con-ubicacion-estrategica-a-la-venta.-147641084.html?n_src=Listado&n_pg=172&n_pos=22
6846e567-d8c3-4f0a-bc56-8fbdaea2ca26,Quito,465000,4,4,6,600.0,-0.1927616,-78.46872,https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casa-miravalle-cumbaya-apta-para-embajadas-147659827.html?n_src=Listado&n_pg=172&n_pos=23
cf87aa90-d29b-4889-9695-3e6f2f9afa90,Quito,450000,4,4,2,540.0,-0.198659499999999,-78.436155,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-en-cumbaya-cerca-paseo-san-francisco-147601577.html?n_src=Listado&n_pg=172&n_pos=24
02825134-d0b7-4438-8847-c7ad8353d159,Quito,520000,4,4,4,956.0,-0.210402699999999,-78.42079509999999,https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-casa-en-cumbaya-el-nacional-suite-147601938.html?n_src=Listado&n_pg=172&n_pos=25
284a74e6-4632-4c79-a517-18582ce8cab3,Quito,200000,9,4,4,400.0,-0.216730315326649,-78.48833714841003,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-rentera-en-la-vicentina-147604923.html?n_src=Listado&n_pg=172&n_pos=26
ce2c4094-85ad-4185-adc4-07869e60ae6c,Quito,179000,3,3,2,150.0,-0.221568579527154,-78.39468003988095,https://www.plusvalia.com/propiedades/clasificado/veclcain-oportunidad-147608262.html?n_src=Listado&n_pg=172&n_pos=28
d9a4515d-991c-4416-bd6e-bc6fc66623d6,Quito,153900,3,2,2,128.0,-0.206916899999999,-78.3857583,https://www.plusvalia.com/propiedades/clasificado/veclcain-casas-independientes-en-conjunto-privado-tumbaco-147610166.html?n_src=Listado&n_pg=172&n_pos=29
8aa744c9-2f5d-4d28-819b-dedda6e168b5,Quito,169900,3,2,2,142.0,-0.206916899999999,-78.3857583,https://www.plusvalia.com/propiedades/clasificado/veclcain-casas-independientes-en-conjunto-privado-tumbaco-147610169.html?n_src=Listado&n_pg=172&n_pos=30
d4eae7b9-6bbc-4c36-b456-d1958b8b6bdb,Quito,600000,1,4,10,2544.0,-0.177873204555836,-78.44531064196777,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-camino-a-nayon-calle-eugenio-de-santa-147323717.html?n_src=Listado&n_pg=173&n_pos=1
533af22b-6faf-43cd-b12a-e732e155c993,Quito,74000,3,2,2,100.0,-0.08547501821355,-78.43142265819702,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-calderon-sector-coral-a-estrenar-147329130.html?n_src=Listado&n_pg=173&n_pos=2
d913cc65-a3b3-43d1-ad9a-0daf0509e9f8,Quito,225000,8,4,3,413.0,-0.143224889016206,-78.46855150251616,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-comercial-en-venta-sector-san-isidro-del-inca-147329265.html?n_src=Listado&n_pg=173&n_pos=3
a8dae360-ccef-45ab-9b17-48f1224d110f,Quito,120000,2,2,2,230.0,-0.1482632,-78.4634433,https://www.plusvalia.com/propiedades/clasificado/veclcain-california-alta-linda-casa-remodelada-$120.-000-en-147665377.html?n_src=Listado&n_pg=173&n_pos=5
a1d1e4d7-d695-4458-ac73-7b1a5390ef45,Quito,195000,3,2,2,262.0,-0.2457898,-78.4421087,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-via-intervalles-147666354.html?n_src=Listado&n_pg=173&n_pos=6
2199a328-9fdf-4999-838c-d807b615c968,Quito,230000,3,3,2,290.0,-0.2045793,-78.45601529999999,https://www.plusvalia.com/propiedades/clasificado/veclcain-hermosa-vista-casa-en-conjunto-san-juan-alto-147668184.html?n_src=Listado&n_pg=173&n_pos=8
b5f81270-332a-4543-824f-d640317ee381,Quito,165000,3,2,2,220.0,-0.1035142,-78.4858499,https://www.plusvalia.com/propiedades/clasificado/veclcain--oportunidad!-casa-en-venta-ponceano-bajo-$165.m-sup2-147193611.html?n_src=Listado&n_pg=173&n_pos=10
c779fbd0-11c7-44e9-a9aa-101489042370,Quito,220000,3,2,2,220.0,-0.201073235640764,-78.38040171793257,https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casa-220-m-sup2--en-tumbaco-sector-hilacril-147201157.html?n_src=Listado&n_pg=173&n_pos=13
5157ca86-9f42-47f2-82c6-e5ff343e125d,Quito,328000,3,2,2,401.0,-0.179088444577649,-78.44073564252778,https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-casa-urbanizacion-prados-de-tanda-vista-cerca-147203092.html?n_src=Listado&n_pg=173&n_pos=15
a234e83e-825f-4ea7-a3fa-2cbaf99a0a86,Quito,168000,4,2,12,600.0,0.003907268921818,-78.45511471690254,https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-de-casa-en-la-mitad-del-mundo-negociables-147274072.html?n_src=Listado&n_pg=173&n_pos=17
722ecec3-369e-4fe6-8150-bc39267375cb,Quito,140000,4,2,1,616.0,-0.2678139,-78.5557742,https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casa-esquinera-independient-dos-pisos-santa-147080951.html?n_src=Listado&n_pg=173&n_pos=19
5234ec84-bd53-41f0-9a39-2bd78f901415,Quito,74000,2,4,3,293.0,-0.0639958,-78.4347579,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-320-m-sup2--de-terreno-sector-guamani-147087189.html?n_src=Listado&n_pg=173&n_pos=22
65247169-4dd3-4294-aa47-ddfb8b925011,Quito,250000,3,3,2,220.0,-0.2032326,-78.5078019,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-dentro-de-conjunto-en-tumbaco-piscina-147182550.html?n_src=Listado&n_pg=173&n_pos=23
788e8d46-fe02-407d-a024-24e2c44b1938,Quito,85000,3,2,1,160.0,-0.3007425,-78.4387385,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-147185381.html?n_src=Listado&n_pg=173&n_pos=24
f4241d92-cb4c-4330-b38a-b8899ae3f295,Quito,115000,3,2,2,145.0,-0.0021692,-78.455825,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-ubicada-en-el-proyecto-alcazar-de-cadiz-147178485.html?n_src=Listado&n_pg=173&n_pos=26
06e09fdb-ea17-4632-b684-5f575adcc861,Quito,650000,4,2,5,3103.0,-0.229293757223649,-78.34774446477084,https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casa-en-pifo-3-dorm.-dentro-de-urbanizacion-147209338.html?n_src=Listado&n_pg=173&n_pos=29
d0cfbff6-7c2b-4d72-b012-ea731c147be5,Quito,84900,3,2,1,170.0,-0.244935702755612,-78.47290055431098,https://www.plusvalia.com/propiedades/clasificado/veclcain-simon-bolivar-casa-en-venta-dentro-de-conjunto-147210707.html?n_src=Listado&n_pg=174&n_pos=1
0aad05a2-46db-441f-841f-0a4af25c418a,Quito,329000,4,2,3,420.0,-0.167852862865,-78.4792458487,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-o-terreno-en-venta.-jipijapa.-junto-a-rio-centro-147213629.html?n_src=Listado&n_pg=174&n_pos=2
73256cab-eab5-4850-948e-b16d91b34721,Quito,99000,3,2,1,100.0,-0.156942002625291,-78.50270878147585,https://www.plusvalia.com/propiedades/clasificado/veclcain-casas-de-venta-en-conjunto-pinar-alto-147215839.html?n_src=Listado&n_pg=174&n_pos=5
701681e9-6588-4cbc-be26-b7ca542d3b14,Quito,99900,5,2,10,1080.0,-0.219895820279999,-78.4824291727,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-en-la-vicentina-baja-con-terreno-1080-146720273.html?n_src=Listado&n_pg=174&n_pos=8
44da3928-dc86-4504-8b0e-456fbc9f63be,Quito,136000,3,2,2,122.0,-0.198739152939999,-78.3990103699,https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casas-en-tumbaco-3-dorm.-146722491.html?n_src=Listado&n_pg=174&n_pos=9
1f7b5ea5-cbda-49a2-bb07-e691380332a1,Quito,270000,4,2,6,320.0,-0.158551097845999,-78.4802800455,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-sector-savoy-in-146728665.html?n_src=Listado&n_pg=174&n_pos=10
869b580c-d76d-4c3e-9b76-ec08201b9c9e,Quito,590000,4,4,6,1020.0,-0.181296299999999,-78.4471777,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-cumbaya-146728722.html?n_src=Listado&n_pg=174&n_pos=11
041c6e90-128f-4c5e-9157-7417d5502307,Quito,890000,4,6,6,2232.0,-0.211679299999999,-78.4293377,https://www.plusvalia.com/propiedades/clasificado/veclcain-la-primavera-ii.-venta-amplia-casa-4-dorm-estudio-146728750.html?n_src=Listado&n_pg=174&n_pos=12
29e27200-b96b-40f5-b46e-cd2769ef0a01,Quito,260000,3,3,2,532.0,-0.1025119,-78.4983746,https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-amplia-casa-3-dorm-estudio-pergola-bbq-146728852.html?n_src=Listado&n_pg=174&n_pos=13
d706e1c4-c640-460d-afff-49f0a2ca9661,Quito,345000,6,3,20,862.0,-0.1363363,-78.4713459,https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-propiedad-sector-solca-146774966.html?n_src=Listado&n_pg=174&n_pos=14
fe68f7e8-dd38-41ed-9922-307accbe8c54,Quito,51500,3,1,1,129.0,-0.0013239,-78.44043119999999,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-90-m-sup2--san-antonio-146812409.html?n_src=Listado&n_pg=174&n_pos=15
